driverId,week,hours-logged,miles-logged
936,35,55,2900
142,44,73,3000
662,51,79,700
294,51,73,2100
365,21,67,1900
540,42,66,1300
12,8,61,1500
652,27,62,0
576,30,57,1900
342,50,68,4000
551,23,58,3300
740,21,63,4000
324,46,68,1400
621,30,58,500
585,29,74,3100
522,23,66,900
20,43,63,1400
532,47,65,2700
96,20,72,2400
199,35,64,1900
831,45,54,2800
247,28,65,500
633,36,68,3900
805,24,51,2100
31,45,51,2200
545,17,51,1900
805,26,78,1700
1005,22,65,3400
997,24,72,600
978,22,59,2500
639,44,58,500
488,2,62,1100
750,42,74,2100
871,45,77,3300
142,41,72,1500
901,2,71,400
553,37,61,4000
827,13,78,3600
986,8,77,100
421,8,78,2000
793,29,57,3500
935,24,75,1800
382,47,61,2500
156,48,79,1200
299,17,74,800
729,31,58,3900
286,47,50,2000
357,6,55,2900
956,50,65,3000
612,19,59,1900
649,8,51,1700
927,7,68,2900
40,8,59,500
351,11,72,300
509,25,80,700
684,11,63,0
467,21,61,2000
690,28,60,1400
668,18,64,1900
797,20,64,500
64,49,58,1300
747,23,65,1400
31,39,73,3800
547,11,54,1100
697,13,75,3300
749,46,57,600
830,36,52,1300
537,36,69,1100
720,26,60,1900
157,8,50,1400
839,45,58,3100
703,13,52,1700
56,42,71,3300
396,29,50,900
400,22,50,3300
452,16,54,3100
448,50,79,2800
165,17,54,1100
1003,30,58,1000
305,48,80,2300
780,30,60,3900
468,37,64,1000
719,6,72,900
480,20,80,900
263,7,73,800
830,7,57,100
352,37,65,0
510,33,70,600
705,28,58,300
339,2,53,3700
566,31,77,3900
308,6,66,3300
75,10,68,100
330,32,75,600
233,3,61,1400
317,43,51,1000
427,15,62,1800
533,10,61,300
660,31,50,2600
135,12,66,300
523,14,79,3400
814,20,51,1600
915,32,64,3200
843,7,70,3400
654,14,75,1700
32,1,67,3800
264,26,63,3500
670,41,66,500
704,17,77,500
138,36,55,2500
638,14,75,200
339,8,62,2400
633,43,80,1600
424,4,70,2600
133,23,50,1800
19,19,69,500
852,38,64,100
83,43,76,4000
570,23,54,3800
449,26,80,1200
41,19,52,0
495,44,55,900
778,9,58,3400
500,11,78,1400
825,16,66,3000
851,28,64,1000
194,46,75,2800
283,26,59,1100
956,18,73,3700
635,36,80,2000
451,46,71,900
583,35,53,600
801,22,71,300
133,30,70,200
980,37,68,1800
223,38,78,1000
882,18,51,3400
840,48,75,2200
740,26,64,3100
275,33,67,3300
458,22,50,1500
90,38,76,1500
908,51,56,3800
766,35,56,2100
117,9,63,3200
903,11,68,2000
417,33,74,1400
681,5,56,2600
599,29,59,1000
572,18,78,400
222,31,51,3200
956,7,57,500
834,1,53,2400
641,31,67,1300
10,45,73,2200
830,40,56,2500
936,47,73,2700
369,39,76,3300
841,18,67,1600
689,25,62,900
403,30,60,2100
539,14,60,200
766,9,67,400
620,35,54,3600
604,12,52,1600
727,18,77,1200
768,1,72,300
728,25,58,2400
429,49,62,1600
311,8,80,2200
325,45,64,1900
559,12,76,3400
649,6,67,500
235,28,67,3500
945,37,62,100
214,43,68,2500
42,21,67,1300
476,14,66,800
641,19,72,600
907,12,75,300
187,21,67,2500
889,25,54,1200
724,28,69,3100
760,14,63,800
23,44,50,1900
119,3,64,1900
133,30,68,600
112,51,75,3700
616,38,67,600
410,29,56,800
95,43,55,4000
901,6,64,3000
857,2,60,3700
122,50,60,500
704,7,80,3900
565,22,65,2500
206,20,55,1200
389,14,75,300
887,6,69,200
352,35,51,200
632,30,67,100
474,14,77,1800
875,31,69,600
628,48,59,600
929,15,50,2300
194,50,67,1400
893,45,55,3400
697,3,75,3700
504,49,73,2800
981,44,60,1500
33,38,57,4000
679,46,80,4000
493,22,58,3500
972,24,78,600
888,52,60,1600
542,3,78,3900
409,1,60,2500
450,7,51,900
598,31,63,2600
702,13,50,1700
584,33,75,3800
921,35,56,2000
673,47,76,600
808,42,72,100
443,52,56,3500
346,39,70,3000
191,46,73,3000
245,44,62,3100
729,27,80,2000
878,9,55,1200
360,2,61,2400
380,18,68,2000
960,27,55,1400
794,26,71,4000
750,52,68,4000
31,8,78,3700
955,8,79,2200
361,41,67,0
41,47,57,3600
677,6,78,2700
485,30,67,2300
445,3,69,500
536,5,65,3200
283,37,67,0
82,10,51,1600
1008,52,67,3900
732,30,78,900
87,37,55,1000
630,7,76,1200
346,39,77,100
553,31,67,400
97,34,50,2000
336,48,67,3600
122,7,58,2700
725,18,64,3300
756,5,50,3300
605,42,80,2600
905,40,74,3400
163,36,59,600
426,44,53,500
752,49,51,1400
312,38,58,2300
407,40,50,1100
294,49,78,600
127,15,65,2700
417,11,76,2100
18,40,63,3100
963,23,70,3300
468,12,52,3400
703,1,54,1200
736,10,73,0
565,41,52,2100
63,21,67,3000
797,42,73,1500
129,49,73,1100
398,47,65,1900
840,12,80,3500
582,11,74,3300
933,22,66,2800
890,49,57,3500
376,3,61,3800
317,25,55,900
299,46,68,1400
856,28,50,3800
202,25,57,900
607,21,58,1400
899,10,80,1300
105,13,59,600
187,26,69,3200
321,28,57,600
805,48,73,700
742,4,69,1000
929,52,77,3400
487,34,78,1700
474,30,73,2300
477,38,77,700
573,27,75,2100
788,37,63,900
13,19,65,1800
870,44,60,1100
631,30,73,3200
740,46,61,1700
576,39,72,2000
185,7,53,3300
130,13,51,3700
953,49,79,1700
487,47,55,600
420,50,76,3900
457,49,61,3100
672,20,67,1300
475,7,59,1700
303,47,55,3400
437,7,64,3000
185,1,66,1900
653,11,77,2300
686,19,57,3700
340,8,60,1000
731,23,79,2900
216,29,76,2000
899,35,73,3300
719,10,80,900
848,35,50,2100
269,17,55,3700
882,42,54,2900
425,19,68,4000
896,51,74,2500
57,20,75,3800
677,37,56,1300
748,34,61,2900
495,32,71,3600
880,7,79,3600
716,3,56,3200
873,38,71,900
309,33,63,2700
578,7,75,0
473,23,51,1300
582,29,55,1700
160,15,52,2200
810,43,63,1600
785,42,58,0
957,17,66,3000
453,17,58,300
429,35,69,0
270,5,73,2200
287,51,66,1200
617,37,50,1800
822,28,66,3800
714,7,76,1500
850,11,57,3700
154,44,50,2200
609,42,63,2300
313,18,50,3500
439,30,50,0
770,36,80,2300
133,25,61,1200
824,14,63,200
276,35,62,1800
91,37,56,1600
854,16,72,2400
274,21,56,3600
447,10,78,2300
191,38,71,1700
438,13,73,1800
916,49,71,3600
688,17,63,400
466,10,53,100
